StationID,Station
8500597,"Ramiswil, Dorf$<1>"
8500598,"Olten, Postplatz$<1>"
8500599,Salhöhe$<1>
8500650,"Courroux, poste$<1>$COUP$<3>"
8500651,"Vicques, poste$<1>"
8500652,"Montavon, village$<1>"
8500653,Ocourt$<1>
8500654,"Roggenburg, Dorf$<1>"
8500655,"Bärschwil, Dorf$<1>"
8500656,"Epiquerez, village$<1>"
8500657,"Montenol, école$<1>"
8500658,"Epauvillers, poste$<1>"
8500659,"Boécourt, bureau communal$<1>"
8500660,Séprais$<1>
8500662,Montignez$<1>
8500663,"Montsevelier, poste$<1>"
8500664,"Movelier, poste$<1>"
8500665,"Vermes, poste$<1>"
8500666,"Châtillon JU, bas du village$<1>"
8500667,Courcelon$<1>
8500668,"Develier, poste$<1>"
8500669,"Rossemaison, école/poste$<1>"
8500671,"Develier, Sur Cré$<1>"
8500673,"Nenzlingen, Unterdorf$<1>"
8500674,"Balsthal, Bahnhof$<1>"
8500676,"Perrefitte, poste$<1>"
8500677,"Damphreux, Sous la Côte$<1>"
8500679,"Mariastein, Klosterplatz$<1>"
8500680,"Moutier, Hôtel de Ville$<1>"
8500681,"Buus, Tagungszentrum Waldegg$<1>"
8500682,Basel EuroAirport$<1>$Basel Flughafen$<4>$Basilea Aeroporto$<4>$Basle Airp.$<4>$Bâle Aérop.$<4>
8500683,"Windisch, Dägerli$<1>"
8500684,"Niederwil SO, Feuerwehrmagazin$<1>"
8500685,"Oensingen, Bauamt$<1>"
8500686,"Dittingen, Himmelrich$<1>"
8500687,"Küttigen, Benken-Klus$<1>"
8500688,"Liesberg, Riederwald$<1>"
8500689,"Liesberg, Dorfplatz$<1>"
8500690,"Möhlin, Post$<1>"
8500691,"Dornach, Kirche$<1>"
8500692,"Dornach, Bahnhof$<1>$DOBF$<3>"
8500693,"St. Pantaleon, Degenmatt$<1>"
8500695,"Metzerlen, Challstrasse$<1>"
8500697,"Hofstetten SO, Mariasteinstr.$<1>"
8500698,"Hubersdorf, Dietrich$<1>"
